Actual,Error,Item_id,Predicted,Store_id,Sum Actual,Sum Predicted
[0 2 3 0 1 1 1 2 1],100.0,228,[ 1.  4.  3.  2.  1.  2.  2.  6.  1.],154,11,22.0
[3 0 2 3 0 0 1 1 1],18.1818181818,228,[ 1.  1.  2.  2.  3.  1.  1.  1.  1.],156,11,13.0
[0 2 0 1 1 4 2 3 3],43.75,228,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.],157,16,9.0
[0 4 1 3 1 1 0 1 6],94.1176470588,228,[ 5.  5.  3.  4.  5.  2.  4.  2.  3.],158,17,33.0
[2 3 4 0 0 5 2 3 1],10.0,228,[ 2.  3.  3.  5.  4.  2.  1.  1.  1.],159,20,22.0
[0 0 0 1 2 0 3 5 1],33.3333333333,228,[ 0.  0.  0.  2.  1.  1.  1.  3.  0.],160,12,8.0
[0 0 1 0 0 0 1 1 1],400.0,228,[ 2.  2.  1.  3.  1.  2.  3.  4.  2.],161,4,20.0
[ 1  1  0  0  1  0  1  1 -3],150.0,228,[ 0.  1.  0.  0.  1.  0.  2.  1.  0.],162,2,5.0
[0 0 0 2 1 1 1 2 2],466.666666667,228,[  3.   4.   6.   2.   5.  10.  14.   5.   2.],163,9,51.0
[1 3 1 1 1 0 2 1 1],45.4545454545,228,[ 1.  1.  2.  1.  3.  2.  3.  1.  2.],164,11,16.0
[1 2 0 0 1 1 1 1 1],162.5,228,[ 6.  1.  2.  4.  3.  2.  1.  1.  1.],165,8,21.0
[1 0 1 0 0 1 2 1 1],42.8571428571,228,[ 2.  1.  0.  3.  1.  1.  1.  1.  0.],166,7,10.0
[0 1 0 0 3 1 0 1 1],328.571428571,228,[ 3.  3.  2.  2.  5.  4.  3.  5.  3.],167,7,30.0
[2 0 3 1 1 0 0 0 0],0.0,228,[ 2.  0.  2.  3.  0.  0.  0.  0.  0.],168,7,7.0
[2 4 0 0 1 2 1 1 3],14.2857142857,228,[ 0.  1.  2.  1.  0.  2.  1.  2.  3.],169,14,12.0
[0 0 0 3 0 2 0 1 0],350.0,228,[ 3.  7.  2.  2.  2.  2.  2.  3.  4.],170,6,27.0
[4 0 1 1 1 0 1 2 1],27.2727272727,228,[ 1.  1.  1.  1.  1.  3.  3.  1.  2.],171,11,14.0
[1 1 0 0 1 0 1 0 1],0.0,228,[ 0.  2.  0.  1.  0.  0.  0.  1.  1.],172,5,5.0
[5 1 0 0 1 1 2 1 1],75.0,228,[ 4.  1.  4.  3.  5.  1.  1.  1.  1.],173,12,21.0
[1 4 1 2 2 1 1 1 1],71.4285714286,228,[ 1.  2.  4.  4.  6.  2.  2.  2.  1.],174,14,24.0
[0 0 1 0 0 0 0 0 1],300.0,228,[ 1.  0.  0.  2.  1.  0.  1.  2.  1.],175,2,8.0
[0 1 2 0 3 1 1 2 4],64.2857142857,228,[ 3.  1.  3.  7.  4.  1.  2.  1.  1.],176,14,23.0
[2 2 2 0 1 2 1 0 3],53.8461538462,228,[ 0.  1.  1.  0.  2.  1.  1.  0.  0.],177,13,6.0
[2 1 1 1 1 2 0 2 0],50.0,228,[ 3.  1.  1.  0.  3.  3.  2.  3. -1.],178,10,15.0
[0 1 1 1 2 2 0 1 3],9.09090909091,228,[ 0.  1.  0.  1.  4.  2.  0.  2.  0.],180,11,10.0
[2 0 1 0 4 1 2 2 1],107.692307692,228,[ 4.  2.  4.  5.  2.  4.  4.  1.  1.],183,13,27.0
[ 2  0  0  0  1  3  1 -1  1],171.428571429,228,[ 2.  2.  2.  2.  6.  2.  1.  1.  1.],184,7,19.0
[0 0 2 2 1 3 1 0 0],255.555555556,228,[ 7.  5.  3.  4.  5.  5.  1.  1.  1.],185,9,32.0
