GNL_STR_NBR_ID,GNL_ITEM_ID,WEEK_END_DATE,YEAR,WEEK,0,AVG_WEEKLY_TEMP,POS_QTY,POS_AMT
859,37239,9/6/2013,2013,36,0.006428,80.890714,0,0
859,37239,9/13/2013,2013,37,0.002714,81.563571,0,0
859,37239,9/20/2013,2013,38,0.003428,80.281428,0,0
859,37239,9/27/2013,2013,39,0.007,78.435,0,0
859,37239,10/4/2013,2013,40,0,79.513571,0,0
859,37239,10/11/2013,2013,41,0.005142,76.807857,0,0
859,37239,10/18/2013,2013,42,0,76.344285,0,0
859,37239,10/25/2013,2013,43,0.000285,74.158571,0,0
859,37239,11/1/2013,2013,44,0.002285,71.973571,0,0
859,37239,11/8/2013,2013,45,0,71.552142,0,0
859,37239,11/15/2013,2013,46,0.001428,68.652142,0,0
859,37239,11/22/2013,2013,47,0.000142,74.088571,0,0
859,37239,11/29/2013,2013,48,0.001142,63.217142,0,0
859,37239,12/6/2013,2013,49,0,70.007857,0,0
859,37239,12/13/2013,2013,50,0,68.987857,0,0
859,37239,12/20/2013,2013,51,0.001428,62.66,0,0
859,37239,12/27/2013,2013,52,0,68.221428,0,0
859,37239,1/3/2014,2014,1,0.006,62.105714,0,0
859,37239,1/10/2014,2014,2,0.001714,61.595,0,0
859,37239,1/17/2014,2014,3,0.000428,55.282857,0,0
859,37239,1/24/2014,2014,4,0.000571,53.067142,0,0
859,37239,1/31/2014,2014,5,0.003714,60.07,0,0
859,37239,2/7/2014,2014,6,0.000428,66.903571,0,0
859,37239,2/14/2014,2014,7,0.002142,60.657142,0,0
859,37239,2/21/2014,2014,8,0.000142,66.168571,0,0
859,37239,2/28/2014,2014,9,0.002142,65.285714,0,0
859,37239,3/7/2014,2014,10,0.001142,64.887857,0,0
859,37239,3/14/2014,2014,11,0.000142,64.829285,0,0
859,37239,3/21/2014,2014,12,0.005428,69.827857,0,0
859,37239,3/28/2014,2014,13,0.004,66.021428,5,18.15
859,37239,4/4/2014,2014,14,0,68.020714,12,43.56
859,37239,4/11/2014,2014,15,0.001428,70.711428,60,178.2
859,37239,4/18/2014,2014,16,0.001857,71.692142,78,231.66
859,37239,4/25/2014,2014,17,0,70.893571,254,754.38
859,37239,5/2/2014,2014,18,0.006428,77.190714,330,980.1
