Actual,Error,Item_id,Predicted,Store_id
[2 3 4 0 0 5 2 3 1],1.77777777778,228,[ 2.  3.  3.  5.  4.  2.  1.  1.  1.],159
[0 0 0 1 2 0 3 5 1],0.888888888889,228,[ 0.  0.  0.  2.  1.  1.  1.  3.  0.],160
[0 0 1 0 0 0 1 1 1],1.77777777778,228,[ 2.  2.  1.  3.  1.  2.  3.  4.  2.],161
[ 1  1  0  0  1  0  1  1 -3],0.555555555556,228,[ 0.  1.  0.  0.  1.  0.  2.  1.  0.],162
[0 0 0 2 1 1 1 2 2],4.66666666667,228,[  3.   4.   6.   2.   5.  10.  14.   5.   2.],163
[1 3 1 1 1 0 2 1 1],1.0,228,[ 1.  1.  2.  1.  3.  2.  3.  1.  2.],164
[1 2 0 0 1 1 1 1 1],1.66666666667,228,[ 6.  1.  2.  4.  3.  2.  1.  1.  1.],165
[1 0 1 0 0 1 2 1 1],1.0,228,[ 2.  1.  0.  3.  1.  1.  1.  1.  0.],166
[0 1 0 0 3 1 0 1 1],2.55555555556,228,[ 3.  3.  2.  2.  5.  4.  3.  5.  3.],167
[2 0 3 1 1 0 0 0 0],0.444444444444,228,[ 2.  0.  2.  3.  0.  0.  0.  0.  0.],168
[2 4 0 0 1 2 1 1 3],1.11111111111,228,[ 0.  1.  2.  1.  0.  2.  1.  2.  3.],169
[0 0 0 3 0 2 0 1 0],2.55555555556,228,[ 3.  7.  2.  2.  2.  2.  2.  3.  4.],170
[4 0 1 1 1 0 1 2 1],1.22222222222,228,[ 1.  1.  1.  1.  1.  3.  3.  1.  2.],171
[1 1 0 0 1 0 1 0 1],0.666666666667,228,[ 0.  2.  0.  1.  0.  0.  0.  1.  1.],172
[5 1 0 0 1 1 2 1 1],1.44444444444,228,[ 4.  1.  4.  3.  5.  1.  1.  1.  1.],173
[1 4 1 2 2 1 1 1 1],1.55555555556,228,[ 1.  2.  4.  4.  6.  2.  2.  2.  1.],174
[0 0 1 0 0 0 0 0 1],0.888888888889,228,[ 1.  0.  0.  2.  1.  0.  1.  2.  1.],175
[0 1 2 0 3 1 1 2 4],1.88888888889,228,[ 3.  1.  3.  7.  4.  1.  2.  1.  1.],176
[2 2 2 0 1 2 1 0 3],1.0,228,[ 0.  1.  1.  0.  2.  1.  1.  0.  0.],177
[2 1 1 1 1 2 0 2 0],1.0,228,[ 3.  1.  1.  0.  3.  3.  2.  3. -1.],178
[0 1 1 1 2 2 0 1 3],0.777777777778,228,[ 0.  1.  0.  1.  4.  2.  0.  2.  0.],180
[2 0 1 0 4 1 2 2 1],2.22222222222,228,[ 4.  2.  4.  5.  2.  4.  4.  1.  1.],183
[ 2  0  0  0  1  3  1 -1  1],1.55555555556,228,[ 2.  2.  2.  2.  6.  2.  1.  1.  1.],184
[0 0 2 2 1 3 1 0 0],2.55555555556,228,[ 7.  5.  3.  4.  5.  5.  1.  1.  1.],185
[2 1 1 0 2 2 4 1 1],0.888888888889,228,[ 1.  2.  2.  3.  2.  2.  3.  2.  1.],186
[1 3 3 1 4 1 4 3 3],1.33333333333,228,[ 3.  4.  4.  4.  2.  1.  3.  4.  4.],187
[1 1 1 1 1 0 1 5 1],0.777777777778,228,[ 1.  1.  3.  1.  1.  1.  1.  1.  1.],188
[1 2 0 0 0 0 0 0 0],0.333333333333,228,[ 0.  2.  1.  1.  0.  0.  0.  0.  0.],189
[0 0 0 0 1 1 3 1 1],0.666666666667,228,[ 0.  1.  0.  1.  1.  2.  2.  2.  0.],190
[2 5 1 1 3 1 0 1 5],2.11111111111,228,[ 1.  2.  2.  5.  1.  3.  1.  2.  1.],191
[ 5  2  1  0  1  0 -1  2  2],1.66666666667,228,[ 3.  3.  1.  1.  3.  3.  3.  3.  1.],192
[2 0 1 1 2 0 1 2 1],2.44444444444,228,[ 6.  3.  2.  3.  4.  2.  4.  5.  3.],193
[3 2 0 0 3 0 2 0 8],2.44444444444,228,[ 3.  3.  6.  2.  1.  3.  3.  1.  2.],194
[1 0 0 1 1 0 1 3 1],0.777777777778,228,[ 1.  0.  0.  2.  0.  1.  1.  0.  0.],196
[1 0 1 2 0 2 2 5 2],1.44444444444,228,[ 2.  0.  2.  0.  3.  2.  1.  0.  2.],197
[2 4 4 1 0 0 2 0 4],1.66666666667,228,[ 1.  4.  5.  2.  5.  1.  1.  2.  1.],198
[2 8 2 0 1 3 4 3 4],2.22222222222,228,[ 4.  1.  3.  5.  3.  3.  3.  3.  2.],199
[1 0 0 0 1 0 1 1 1],1.11111111111,228,[ 0.  3.  1.  0.  0.  2.  2.  2.  1.],200
[0 2 1 1 4 0 0 0 0],2.0,228,[ 2.  1.  5.  3.  1.  2.  2.  1.  1.],201
[1 2 0 0 0 2 1 1 0],0.888888888889,228,[ 1.  0.  0.  3.  0.  0.  2.  1.  0.],202
[2 3 0 1 1 1 0 3 1],1.77777777778,228,[ 2.  2.  3.  2.  2.  3.  4.  4.  4.],203
[2 2 0 0 0 0 1 1 1],1.0,228,[ 1.  0.  1.  1.  2.  0.  2.  2.  1.],204
[0 0 0 0 0 0 0 0 1],0.555555555556,228,[ 0.  0.  2.  0.  0.  0.  1.  2.  1.],205
[0 2 1 1 1 0 1 0 0],0.888888888889,228,[ 0.  0.  0.  0.  0.  1.  0.  1.  0.],206
[0 1 1 4 2 2 2 2 4],1.77777777778,228,[ 4.  1.  1.  1.  3.  1.  4.  4.  7.],207
[2 2 0 0 0 0 1 1 0],0.888888888889,228,[ 0.  1.  1.  0.  0.  2.  0.  1.  1.],208
[1 0 0 0 0 0 0 0 0],0.777777777778,228,[ 2.  0.  3.  3.  0.  0.  0.  0.  0.],209
[1 1 4 1 1 1 1 1 2],1.22222222222,228,[ 0.  0.  1.  1.  1.  1.  5.  2.  1.],210
[2 1 1 0 3 0 3 0 3],1.33333333333,228,[ 3.  4.  1.  2.  2.  1.  2.  2.  2.],211
[0 0 2 1 0 0 0 0 0],0.888888888889,228,[ 1.  0.  0.  0.  0.  0.  3.  0.  1.],212
[1 0 0 0 1 1 0 1 3],1.66666666667,228,[ 2.  2.  2.  1.  3.  2.  2.  3.  1.],215
[1 1 0 1 1 3 2 1 3],2.22222222222,228,[ 4.  7.  2.  5.  2.  1.  2.  1.  1.],216
[3 0 1 1 0 0 1 1 0],1.33333333333,228,[ 0.  1.  0.  0.  2.  1.  2.  1.  2.],217
[0 1 0 2 1 1 2 0 1],0.888888888889,228,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.],218
[1 1 0 3 0 0 0 1 2],1.88888888889,228,[ 2.  4.  4.  5.  2.  3.  1.  1.  1.],219
